,Reference,Date,Computation,Computation_1,Number of qubits,Number of two-qubit gates,Number of single-qubit gates,Total number of gates,Circuit depth,Circuit depth measure,Institution,Computer,Error mitigation,Error mitigation_1,Error mitigation_2,Error mitigation_3,Year,Computations,Error mitigations
0,[2407.14431] Diagonalization of large many-body Hamiltonians on a quantum processor,2024-07-19,Hadamard test,Trotter,56,900.0,,,,,IBM,Monte Carlo,Dynamical decoupling,Pauli twirling,Probabilistic error amplification,Readout error mitigation,2024,"Hadamard test, Trotter","Dynamical decoupling, Pauli twirling, Probabilistic error amplification, Readout error mitigation"
1,[2401.08044] Quantum Simulations of Hadron Dynamics in the Schwinger Model using 112 Qubits,2024-01-16,Trotter,,112,13858.0,,,370.0,CNOT depth,IBM,Torino,No Data,No Data,No Data,No Data,2024,Trotter,
2,[2312.12831] First-Order Phase Transition of the Schwinger Model with a Quantum Computer,2023-12-20,VQE,,12,,,,,,Unnamed,Unnamed,Zero noise extrapolation,Pauli twirling,Dynamical decoupling,No Data,2023,VQE,"Zero noise extrapolation, Pauli twirling, Dynamical decoupling"
3,[2306.09333] Dynamics of magnetization at infinite temperature in a Heisenberg spin chain,2023-06-15,Floquet,Trotter,46,1058.0,,,23.0,Cycles,Google,Sycamore,Bitstring postselection,No Data,No Data,No Data,2023,"Floquet, Trotter",Bitstring postselection
4,Evidence for the utility of quantum computing before fault tolerance | Nature,2023-06-14,Trotter,,127,2880.0,,,60.0,CNOT depth,IBM,Unnamed,Zero noise extrapolation,Readout error mitigation,No Data,No Data,2023,Trotter,"Zero noise extrapolation, Readout error mitigation"
5,[2304.11119] Phase transition in Random Circuit Sampling,2023-04-21,Random circuit,,67,880.0,,,32.0,Cycles,Google,Sycamore,No Data,No Data,No Data,No Data,2023,Random circuit,
6,[2204.11372] Noise-resilient Edge Modes on a Chain of Superconducting Qubits,2022-04-24,Floquet,,47,14100.0,,,300.0,Cycles,Google,Sycamore,Floquet calibration,No Data,No Data,No Data,2022,Floquet,Floquet calibration
7,[2203.15291] Simulating challenging correlated molecules and materials on the Sycamore quantum processor,2022-03-29,QITE,VQE,11,100.0,,,,,Google,Sycamore,No Data,No Data,No Data,No Data,2022,"QITE, VQE",
8,[2107.13571] Observation of Time-Crystalline Eigenstate Order on a Quantum Processor,2021-07-28,Hadamard test,Floquet,20,1000.0,,,100.0,Cycles,Google,Sycamore,No Data,No Data,No Data,No Data,2021,"Hadamard test, Floquet",
9,[2101.08870] Information Scrambling in Computationally Complex Quantum Circuits,2021-01-21,Random circuit,OTOC,53,650.0,,,24.0,Cycles,Google,Sycamore,No Data,No Data,No Data,No Data,2021,"Random circuit, OTOC",
10,[2004.04174] Hartree-Fock on a superconducting qubit quantum computer,2020-04-08,VQE,,12,72.0,,,,,Google,Sycamore,No Data,No Data,No Data,No Data,2020,VQE,
11,[2004.04197] Quantum Approximate Optimization of Non-Planar Graph Problems on a Planar Superconducting Processor,2020-04-08,QAOA,,23,345.0,,,,,Google,Sycamore,No Data,No Data,No Data,No Data,2020,QAOA,
